Exchange, URL, REPO, Whitepaper/Docs, DEX GRADE, Status, Protocol, Reference
LinkerCoin, https://www.linkercoin.com/, https://github.com/linkercoinfoundation/Linker-Coin-Project, https://docs.wixstatic.com/ugd/4e7588_4bd05b0a780f42849f44280af1a51189.pdf, , (developing), linker protocol, 
Loopring, https://loopring.org, , https://github.com/Loopring/whitepaper/raw/master/en_whitepaper.pdf, , (developing - launch Q2 2018), loopring protocol, 2
Lykke, https://www.lykke.com/exchange, https://github.com/LykkeCity/, https://www.lykke.com/media/Whitepaper_LykkeExchange.pdf, , (operating), TBC, 4
Mandarin, https://mandarin.top/, , , , (dead), TBC, 
Melon, https://melonport.com/, https://github.com/melonproject/, https://github.com/melonproject/paper/blob/master/melonprotocol.pdf, , (operating), melonport protocol, 2
Melon DEX, , https://github.com/melonproject/cross-chain-exchange-prototype, , , (developing - prototype), melonport protocol, 
Mercatox, https://mercatox.com/, , , , (developing), TBC, 4
Mercury, http://mercuryex.com, https://github.com/mappum/mercury, , , (developing), TBC, 
MinexDEX, hhttps://minexcoin.com/, https://github.com/minexcoin, , , (announced), atomic swap, 
Mobidex, http://mobidex.io/, , , , (developing - private alpha), 0x protocol, 
Mothership, https://mothership.cx/, , , , (developing), TBC, 
MyEtherSwap, https://www.myetherswap.com/, , , , (operating), TBC, 
NEX, https://neonexchange.org/, , , , (developing - launch Q3 2018), off-chain protocol, 
NextExchange, https://next.exchange/, https://github.com/NextExchange,  https://next.exchange/whitepaper,  , (developing), 0x,  
NVO, https://nvo.io/, , , , (developing - launch Q1 2018), nvo protocol, 
Nxt, https://nxtplatform.org/, , , , (operating), TBC, 5
Oasis DEX, https://oasisdex.com/, , , , (operating - alpha), on-chain protocol, 
Omega One, https://omega.one/, , , , (ICO), TBC, 
OmiseGO, https://omisego.network/, , , , (developing), omisego protocol, 2
Omni DEX, http://omniexplorer.info/dex.aspx, , , , (operating), TBC, 
openANX, https://www.openanx.org/en/, , , , (developing), openanx protocol, 
Open Collectors Network, https://opencollectors.network/, https://github.com/cosmingrigore/OpenCollectorsNetwork, https://opencollectors.network/layout/OpenCollectorsNetwork, , (developing - prototype), TBC, 
OpenLedger DEX, https://openledger.io/, , , , (operating), bitshares protocol (DPOS), 
Open Relay, https://openrelay.xyz/, , , , (developing - private alpha), 0x protocol, 
Orderbook, https://www.orderbook.io, https://github.com/Orderbookio, https://ico.orderbook.io/files/orderbook_WP.pdf, , (released), ethereum protocol, 
Paradex, https://app.paradex.io/, https://github.com/ParadexRelayer, , , (operating - beta), 0x protocol, 
Paradigm, https://www.paradigmfoundation.io, https://github.com/ParadigmFoundation/Paradigm, https://s3-ap-southeast-2.amazonaws.com/www.paradigmfoundation.io/Paradigm+Foundation+White+Paper.pdf, FULLY, (developing), paradigm protocol, 
Plaak, http://exchange.plaak.com/landing.php, https://github.com/zeked2013/PLAAK, http://plaak.com/docs/PLAAK-Whitepaper-V2-Freelance.pdf, DCD, (developing), TBC, 
PlutusDEX, https://dex.plutus.it/, , , , (operating), TBC, 
Prime, https://getprime.org/, https://github.com/hitchhiker/prime, , , (developing - pre-alpha), TBC, 
Prism, https://prism.exchange/, , , , (developing - invite-only beta), TBC, 
QTUM DEX, , , , , (announced), qtum protocol, 
